/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330839_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330840_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	362	adk(62)	fumC(100)	gyrB(17)	icd(31)	mdh(5)	purA(5)	recA(4)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330841_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330842_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	654	adk(6)	fumC(95)	gyrB(5)	icd(18)	mdh(9)	purA(8)	recA(6)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330843_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330844_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330845_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	-	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(~11)	recA(25)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330846_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	-	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(~11)	recA(25)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330847_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330848_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	5484	adk(450)	fumC(38)	gyrB(459)	icd(37)	mdh(17)	purA(11)	recA(26)
/nfs/nas22/fs2202/biol_micro_sunagawa/Projects/EAN/BRCCH_ECOLI_WGS_EAN/scratch/data/04_Egli_genomes/02_Scaffolds_200/CUEN23-1_SAMEA111330849_ISOG.scaffolds.min200.fasta	ecoli_achtman_4	12	adk(13)	fumC(13)	gyrB(9)	icd(13)	mdh(16)	purA(10)	recA(9)
